660.000 1.000 21300.000 0.044 1.000 4.000
660.000 0.999 21300.000 0.047 1.000 4.000
660.000 0.997 21300.000 0.041 1.000 4.000
660.000 0.994 21300.000 0.041 1.000 4.000
660.000 0.985 21300.000 0.046 1.000 4.000
660.000 0.970 21300.000 0.049 1.000 4.000
660.000 0.951 21300.000 0.053 1.000 4.000
660.000 0.942 21300.000 0.054 1.000 4.000
660.000 0.921 21300.000 0.053 1.000 4.000
660.000 0.908 21300.000 0.052 1.000 4.000
660.000 1.000 21300.000 0.039 1.000 3.000
660.000 0.999 21300.000 0.030 1.000 3.000
660.000 0.997 21300.000 0.032 1.000 3.000
660.000 0.994 21300.000 0.033 1.000 3.000
660.000 0.985 21300.000 0.036 1.000 3.000
660.000 0.970 21300.000 0.400 1.000 3.000
660.000 0.942 21300.000 0.410 1.000 3.000
660.000 0.908 21300.000 0.450 1.000 3.000
660.000 1.000 21300.000 0.033 1.000 3.000
660.000 0.999 21300.000 0.035 1.000 3.000
660.000 0.997 21300.000 0.035 1.000 3.000
660.000 0.994 21300.000 0.037 1.000 3.000
660.000 0.985 21300.000 0.044 1.000 3.000
660.000 0.970 21300.000 0.047 1.000 3.000
660.000 0.942 21300.000 0.047 1.000 3.000
660.000 0.908 21300.000 0.046 1.000 3.000
