1.050 0.037
1.110 0.068
1.160 0.086
1.235 0.111
1.340 0.145
1.455 0.172
1.555 0.193
1.685 0.219
1.835 0.240
1.945 0.260
2.090 0.282
2.220 0.300
2.370 0.319
2.445 0.341
