880.000 1.000 21300.000 0.051 1.000 4.000
880.000 0.994 21300.000 0.058 1.000 4.000
880.000 0.980 21300.000 0.059 1.000 4.000
880.000 0.970 21300.000 0.060 1.000 4.000
880.000 0.950 21300.000 0.059 1.000 4.000
880.000 0.934 21300.000 0.061 1.000 4.000
880.000 0.904 21300.000 0.051 1.000 4.000
660.000 1.000 21300.000 0.044 1.000 4.000
660.000 0.997 21300.000 0.041 1.000 4.000
660.000 0.994 21300.000 0.041 1.000 4.000
660.000 0.985 21300.000 0.046 1.000 4.000
660.000 0.970 21300.000 0.049 1.000 4.000
660.000 0.951 21300.000 0.053 1.000 4.000
660.000 0.942 21300.000 0.054 1.000 4.000
660.000 0.908 21300.000 0.052 1.000 4.000
460.000 0.996 21300.000 0.085 1.000 4.000
460.000 0.982 21300.000 0.075 1.000 4.000
460.000 0.970 21300.000 0.088 1.000 4.000
460.000 0.954 21300.000 0.081 1.000 4.000
460.000 0.924 21300.000 0.080 1.000 4.000
460.000 0.906 21300.000 0.081 1.000 4.000
